order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046785,30/08/2017,53.63,1.00,25,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS120-TEK-BU-XXL,,,,,,,
P046785,30/08/2017,53.63,1.00,26,MS045-TAH-GY-S,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS130-TAI-BK-S,,,,,,,
P046785,30/08/2017,53.63,1.00,27,MS045-TAH-GY-M,FALSE,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS130-TAI-BK-M,,,,,,,
P046785,30/08/2017,59.09,1.00,28,MS202-TEK-OL-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS130-TAI-BK-L,,,,,,,
P046785,30/08/2017,71.81,1.00,29,MS260-SHT-GY-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS130-TAI-BK-XL,,,,,,,
P046785,30/08/2017,53.63,1.00,30,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS130-TAI-BK-XXL,,,,,,,
P046785,30/08/2017,53.63,1.00,31,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-S,,,,,,,
P046785,30/08/2017,53.63,1.00,32,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-M,,,,,,,
P046785,30/08/2017,53.63,1.00,33,MS245-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-L,,,,,,,
P046785,31/08/2017,99.09,1.00,34,MS275-HOZ-BN-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-XL,,,,,,,
P046785,31/08/2017,53.63,1.00,35,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS135-TAK-BK-XXL,,,,,,,
P046785,31/08/2017,62.72,1.00,36,MS211-TEK-WH-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS140-TAH-GY-S,,,,,,,
P046785,31/08/2017,108.18,1.00,37,MS270-HOZ-GY-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS140-TAH-GY-M,,,,,,,
P046785,31/08/2017,108.18,1.00,38,MS270-HOZ-GY-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS140-TAH-GY-L,,,,,,,
P046785,31/08/2017,53.63,1.00,39,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS140-TAH-GY-XL,,,,,,,
P046785,31/08/2017,53.63,1.00,40,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS140-TAH-GY-XXL,,,,,,,
P046785,31/08/2017,53.63,1.00,41,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS055-SHT-BW-S,,,,,,,
P046785,31/08/2017,53.63,1.00,42,MS230-TAK-WH-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS055-SHT-BW-M,,,,,,,
P046785,31/08/2017,80.90,1.00,43,MS280-POL-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,MS055-SHT-BW-L,,,,,,,
P046785,31/08/2017,53.64,1.00,44,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS055-SHT-BW-XL,,,,,,,
P046785,31/08/2017,62.72,1.00,45,MS210-TEK-BK-XXL,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS055-SHT-BW-XXL,,,,,,,
P046785,31/08/2017,53.63,1.00,46,MS246-TAK-OL-XXL,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS045-TAH-GY-S,,,,,,,
P046785,31/08/2017,71.81,1.00,47,MS055-SHT-BW-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS045-TAH-GY-M,,,,,,,
